"id","content"
1,"kesinilah, Jika kamu ingin mati."
2,"Apakah kamu sudah siap ?"
3,"Apakah kamu yakin ingin mengalahkan aku, Izac ? "
4,"Mati bukan berarti selesai, huh ?"
5,"Aku tidak takut atas kematian, setidaknya aku mendapatkan kedamaian."
6,"Aku tidak kalah, karna aku sudah menetapkan itu"
7,"Apakah kamu pernah melihat dunia kegelapan ?"
8,"Battle selamanya. Itu yang aku inginkan."
9,"Hidup dengan pedang, mati dengan pedang. Hanya mengenai itu."
10,"Hei, anak kecil, keluarkan pedangmu duluan."
11,"Ketika hukuman itu datang penderitaan itu hanyalah sesaat."
12,"Darahku sangat berharga buat kamu"
13,"Eva, ayo kita bertanding sekali lagi"
14,"Ayo kita selesaikan semuanya di sini."
15,"Sepertinya aku tahu bau ini, tapi entah di mana..."
16,"......"
17,"Jead, sangat sulit dipercaya aku bisa bertemu kamu di sini"
18,"Aku akan menunjukkan keberakhiranmu."
19,"Aku merasa kasihan kepadamu, Grunwald"
20,"Tuan putri, maaf jangan ganggu aku."
21,"Ada hal yang ingin aku tanyakan kepadamu, setelah ini kita bertanding."
22,"Lebih baik aku membusuk di dalam cahaya."
23,"Aku lebih suka tempat ini dari pada dunia."
24,"Aku telah meminjamkanmu sesuatu, bisakah kau kembalikan itu."
25,"Kita akan kembali lagi kesini, bukan begitu Eva ?"
26,"Tenanglah, suatu saat kamu juga pasti akan mengerti."
27,"Perbuatanmu akan ada imbalanya. Kebenaran dan kesalahan itu tidak dipertanyakan."
28,"Aku berjuang untuk misi. Bagaimana dengan kamu ?"
29,"Disini bukanlah cakrawala dunia, Evarist."
30,"Akan ku perlihatkan bahwa kegelapan itu lebih gelap dari mata kematian"
31,"Ok. Berharap akan jadi berguna untuk percobaan."
32,"Tolong perlihatkan kekuatanmu."
33,"Haha, waktunya bersenang-senang."
34,"Lama tidak bertemu, apakah kemampuanmu sudah meningkat ?"
35,"Ayo bersenang-senang denganku."
36,"Oh, lama tidak bertemu. ...Akan kuhancurkan kau."
37,"Benar-benar wanita yang menjelkan. Pergi kau !"
38,"Jika kamu menggangguku, tidak akan ku maafkan."
39,"Aku mencarimu,,, kakak,,,"
40,"Sprout ? Apakah itu kamu ?"
41,"Kamu juga suka kan ? Bau kematian yang dingin dan harum."
42,"Jika mau menyerang kembali, lebih baik pulanglah ke tanah yang dingin."
43,"Wanita pembawa kematian ...bagaimana kalau kita habisi saja."
44,"aku tidak punya waktu bermain dengan orang idiot seprti kamu."
45,"Aku senang bisa bertarung denganmu."
46,"Pastikan situasinya untuk menyingkirkan musuh."
47,"Nasib memiliki satu tangan itu beruntung, Tapi kartu mana yang akan dipilih itu tujuanya."
48,"Apakah kamu juga perlu pelajaran tentang game?"
49,"Keburuntungan itu terus mengalir. Pastikan itu."
50,"Di dalam permainan (game) itu ada keberuntungan dan tidak beruntung. Namun pada akhirnya semua itu akhirnya sama."
51,"Meskipun ada banyak pilihan, Kamu hanya bisa memilih satu masa depanmu."
52,"Orang biadab, keluar kau dari hadapanku."
53,"Penampilanya cantik seperti boneka, tapi dalamnya bagaimana ya."
54,"Kamu adalah pengkhianat, aku akan membunuhmu dengan kejam."
55,"Ada apa ? Apakah ada masalah lagi ?"
56,"Aku akan mengamati semua orang yang ada di dunia. "
57,"Bertarung ? Boleh juga."
58,"Tolong, bertarunglah denganku. Redgrave."
59,
60,"Api ini akan benar-benar membakar semuanya. Semuanya."
61,"Akan jadi lebih baik jika ini jadi pertarungan yang sesungguhnya."
62,"Tidah perlu salam. Ayo lawan aku."
63,"Ayo perlihatkan pedangmu."
64,"Ketidakadaanlah yang mengendalikan semuanya. Kau akan menjadi persembahan."
65,"Apa yang sudah aku lihat, Aku juga ingin memperlihatkanya kepadamu. "
66,"Jika semuanya berakhir, maka yang baru akan dimulai. Jadi, jangan ganggu aku."
67,"Aku tidak punya waktu untuk memikirkan leluconmu. "
68,"Mari kita mengirimkan doa untuk arwah yang berkeliaran."
69,"Untuk apa bertarung ? Apakah untuk dunia ? Apakah untuk diri sendiri ?"
70,"Maaf, aku tidak punya waktu untuk meminta maaf atas kekuranganku lalu."
71,"Bagiku rahasia dunia itu adalah keberadaan itu sendiri."
72,"Dokter, aku pikir aku tidak akan bertemu lagi denganmu."
73,"Aku tidak akan memaafkan kamu."
74,"Kelihatanya kedaaanya sedang tidak begitu baik."
75,"Akan kuperlihatkan kekuatan makhluk suci ini."
76,"Makhluk suci milikku tidak akan kalah."
77,"Minggir kau Sprout, aku tidak ingin bertarung denganmu."
78,"Maaf, tolong jangan ganggu aku saat ini "
79,"Bisa menguji kekuatan robot prajurit adalah kesempatan yang bagus."
80,"Bagaimanapun harus siap antara hidup dan mati."
81,"Sosoknya sudah terlihat, kita tidak bisa membiarkan dia hidup."
82,"Bunga mawar yang mengerikan. Akan ku habisi kau di sini. "
83,"Hei, anak kecil, aku tidak punya waktu untuk memikirkanmu."
84,"Kamu sudah tahu niat awalku."
85,"Mari kita perlihatkan rahasia bermain pedang yang dulu menjadi no. 1 di kerajaan."
86,"Tidak ada belas kasihan untukmu, Asura."
87,"Hanya kamu yang tidak akan aku maafkan"
88,"Ada hal yang harus aku lindungi."
89,"Kapten, tolong tarik yang ini."
90,"Aku tidak berfikir bisa bertemu kamu lagi, Florence"
91,"Jadi, kamu sudah punya rencana ya, Asura."
92,"Wanita yang kuat, "
93,"Oh tidak, kelihatanya akan menjadi hal yang menyusahkan."
