"id","content"
1,"ถ้าอยากตายก็เข้ามาได้เลย"
2,"จะไปล่ะนะ เตรียมใจไว้แล้วรึยัง?"
3,"คิดว่าจะชนะฉันได้เหรอ? ไอแซค"
4,"ความตายไม่ใช่จุดจบ...อย่างนั้นรึ"
5,"ความตายมันก็ไม่ได้เลวร้ายนักหรอก จะได้พบความสงบสุขเสียที"
6,"ผมจะไม่แพ้แน่นอน เพราะมันต้องเป็นอย่างนั้นอยู่แล้ว"
7,"เธอเคยเห็นโลกอันมืดมิดนั่นไหมล่ะ?"
8,"การต่อสู้ชั่วนิรันดร์ นั่นแหละที่ฉันต้องการ!"
9,"ผู้ที่อยู่ด้วยดาบ ก็ต้องตายด้วยดาบ มันก็เท่านั้นแหละ"
10,"ถอยไปซะเจ้าเด็กน้อย"
11,"ได้เวลาพิพากษาแล้ว ทรมานแค่ครู่เดียวเท่านั้นแหละ"
12,"เลือดของฉันมันแพงนะ"
13,"เอวา มาประลองกันสักตั้งสิ"
14,"มาตัดสินผลแพ้ชนะระหว่างฉันกับนายกันตอนนี้เลยเถอะ"
15,"เหมือนเคยได้กลิ่นเธอ...จากที่ไหนมาก่อน"
16,"...."
17,"เจด ไม่คิดเลยนะว่าจะมาเจอนายที่นี่"
18,"ฉันจะทำให้นายเห็นจุดจบเอง"
19,"กรุนวัลด์ ฉันรู้สึกสมเพชในตัวแกเหลือเกิน"
20,"ขอโทษนะคุณหนู ฉันปล่อยให้เธอมาเกะกะไม่ได้หรอก"
21,"ฉันมีเรื่องอยากจะถามนายสักหน่อย...แต่เอาไว้สู้จบก่อนแล้วกัน"
22,"จงสลายไปด้วยลำแสงของข้าซะ"
23,"ฉันชอบที่นี่มากกว่าโลกปัจจุบันอีกนะ"
24,"ฉันมีหนี้กับแกอยู่นี่นะ งั้นจะขอคืนให้เดี๋ยวนี้เลยก็แล้วกัน"
25,"พวกเราจะกลับไปอีกครั้ง ใช่ไหมล่ะ เอวา"
26,"อย่าใจร้อนแบบนั้นสิ เดี๋ยวยังไงก็ได้รู้กันแล้ว ทั้งแกทั้งฉันนั่นแหละ"
27,"การกระทำใดก็มีการชดเชย ไม่ว่าจะถูกหรือผิดก็ตาม"
28,"ฉันจะสู้เพื่อชีวิตของตัวเอง แล้วคุณล่ะ?"
29,"ขอบโลกน่ะไม่ใช่ที่นี่หรอก เอวาริสท์"
30,"ฉันจะให้แกได้เห็นความมืดที่ล้ำลึกกว่าความตาย"
31,"ถ้าเป็นการทดลองที่ใช้ได้ก็ดีน่ะสิ"
32,"ขอดูพลังของเธอหน่อยสิ"
33,"เอาล่ะ งั้นขอสนุกด้วยหน่อยนะ"
34,"ไม่เจอกันนานเลยนะ เก่งขึ้นบ้างไหม?"
35,"มาเถอะ มาสนุกด้วยกันสิ"
36,"อ๊ะ ไม่เจอกันนานเลยนะ ...ตายซะเถอะ!"
37,"ให้ตายสิ ขัดลูกตาซะจริง! หายไปซะ!"
38,"ถ้าเข้ามายุ่งล่ะก็จะไม่ปราณีแล้วนะ!"
39,"ตามหามาตั้งนานแน่ะ...พี่!"
40,"สเปราท์งั้นเหรอ? จริงๆ เหรอ?"
41,"กลิ่นของความตายอันเยือกเย็นที่ช่างงดงามหวานหอม เธอเองก็ชอบใช่ไหมล่ะ?"
42,"ถ้าจะหันดาบใส่ ก็จงกลับลงไปสู่พื้นที่เย็นเยียบนั่นเถอะ"
43,"หญิงสาวผู้นำพาความตาย...มาจบเรื่องกันเลยดีกว่า"
44,"ฉันไม่มีเวลาเท่าไหร่ ไม่ว่างมาจับปลาซิวปลาสร้อยเล่นหรอกนะ"
45,"ดีใจจังที่ได้สู้กับคุณ"
46,"ยืนยันสถานการณ์ เตรียมเก็บกวาดศัตรู"
47,"สิ่งที่จะนำพาไพ่ในมือมาคือโชคชะตา แต่สิ่งที่เลือกไพ่นั้นคือความนึกคิดของท่าน"
48,"ท่านต้องการทราบวิธีการเล่นเกมหรือไม่?"
49,"แม้โชคชะตาก็ยังมีการผันเปลี่ยน กรุณาจับตาดูให้ดี"
50,"เกมนั้นมีทั้งโชคดีและโชคร้าย แต่สุดท้ายแล้วสิ่งเหล่านั้นก็จะมาบรรจบรวมกัน"
51,"ต่อให้มีตัวเลือกเป็นอนันต์ ทว่าสิ่งที่ท่านเลือกนั้นมีได้เพียงหนึ่ง"
52,"จงหายไปจากสายตาของข้าซะ เจ้าคนเถื่อนโสโครก"
53,"ภายนอกก็ดูเป็นตุ๊กตาที่งดงามดีอยู่หรอก แต่ข้างในจะเป็นยังไงบ้างนะ?"
54,"สมกับเป็นคนทรยศ ขอมอบความตายแสนทรมานให้ก็แล้วกัน"
55,"เป็นอะไรไป? อาการตะคริวนั่นอีกแล้วรึ?"
56,"เราจะจับตาดูโลกใบนี้ ไม่ให้เล็ดลอดสายตาไปแม้แต่คนเดียว"
57,"ประมืองั้นรึ? ก็ไม่เลว"
58,"ขอเสียมารยาทประลองด้วยขอรับ ท่านเรดเกรฟ"
59,"เจ้าคนเขลาที่ถูกปิศาจแห่งความยุ่งเหยิงเข้าสิงเอ๋ย จงสำเหนียกตัวเองบ้าง"
60,"เพลิงนี้จะเผาผลาญทุกอย่างให้มอดไหม้... ทุกๆ อย่าง"
61,"ถ้าประลองกันได้ก็ดีนะ"
62,"ไม่จำเป็นต้องทักทายหรอก เข้ามาเลยดีกว่า"
63,"ขอดูฝีมือดาบของแกหน่อยแล้วกัน"
64,"ความว่างเปล่าจะเข้ายึดครองทุกสิ่ง รวมทั้งแกด้วย"
65,"ข้าเองก็อยากให้แกได้เห็นสิ่งที่ข้าเห็นเช่นกัน"
66,"ถ้าทุกอย่างจบ ก็จะได้เริ่มต้นใหม่ ข้าไม่ยอมให้เข้ามาขวางหรอก"
67,"ข้าไม่มีเวลามายุ่งกับเรื่องล้อเล่นไร้สาระของแกหรอกนะ"
68,"จะช่วยนำทางวิญญาณผู้หลงทางก็แล้วกัน"
69,"จะพยายามต่อสู้ไปเพื่ออะไร? เพื่อโลกนี้เหรอ? หรือว่าเพื่อตัวเองกัน?"
70,"ขอโทษทีนะ ฉันไม่มีเวลาให้นึกเสียใจกับเรื่องที่ล่วงเกินพวกเธอไปหรอก"
71,"สำหรับฉันแล้ว ความลับของโลกนี้มันมีอยู่จริง"
72,"ไม่คิดเลยนะว่าจะได้เจอกันอีก ด็อกเตอร์..."
73,"ฉันจะไม่ยกโทษให้คุณเด็ดขาด"
74,"ดูท่าทางไม่ค่อยดีเลยนะ"
75,"จะแสดงพลังของเทพอสูรให้ดูเป็นขวัญตา"
76,"เทพอสูรของฉันไม่มีวันแพ้แน่!"
77,"หลีกไปซะ สเปราท์ ฉันไม่อยากสู้กับเธอนะ"
78,"โทษที อย่าเพิ่งเข้ามาขวางตอนนี้เลย"
79,"โอกาสดีเลย ที่จะได้ลองพลังกับทหารจักรกล"
80,"สุดท้ายแล้ว สิ่งที่จะแบ่งแยกผู้ยังชีวิตกับผู้ที่ตายแล้ว ก็คือปณิธาน"
81,"เห็นร่างข้าแล้ว คงปล่อยให้อยู่รอดต่อไปไม่ได้หรอก"
82,"ดอกกุหลาบที่โชคร้ายงั้นเหรอ ข้าจะทำให้มันจบไปตรงนี้ก็แล้วกัน"
83,"ข้าไม่มีเวลามาเล่นกับเด็กน้อยหรอกนะ"
84,"แกจะมาเข้าใจอะไรข้า"
85,"ขอชมฝีมือดาบที่ว่ากันว่าเป็นหนึ่งในอาณาจักรเป็นขวัญตาหน่อยเถอะ"
86,"ฉันไม่มีความเห็นใจให้แกหรอกนะ อาสึระ"
87,"แกคนเดียวที่ฉันจะไม่เกรงใจ"
88,"ฉันเองก็มีสิ่งที่ต้องปกป้องเหมือนกัน!"
89,"ผบ. คะ กรุณาถอยไปค่ะ"
90,"ไม่คิดว่าจะได้เจอกันอีกนะ ฟลอเรนซ์"
91,"เจ้าเล่ห์นักนะ อาสึระ"
92,"เป็นผู้หญิงที่ดื้อด้านจริงนะ ข้าจะหยุดเจ้าด้วยมือของข้าเองนี่แหละ"
93,"ให้ตายสิ กลายเป็นเรื่องยุ่งยากขึ้นมาซะได้"
94,"ขอโทษนะ แต่ช่วยไปที่อื่นก่อนได้ไหม?"
95,"เมื่อดวงดาวอยู่ในตำแหน่งที่เหมาะที่ควร จะได้รู้กันว่าพวกเรานั้นทำถูกแล้ว"
96,"อาณาจักรเจิดจรัสนั่นแหละ ที่จะครอบครองทุกสิ่ง"
97,"ความแตกต่างระหว่างแกกับพวกเรามันน้อยนิด ทว่า..."
