"id","content"
1,"Venez m'affronter, si vous êtes prêt à mourir !"
2,"Êtes-vous prêt ?"
3,"Pensez-vous réellement pouvoir me battre ? Isaac"
4,"Cela signifie que la mort n'est pas une fin en soi..."
5,"Je n'ai pas peur de la mort, surtout si elle peut m'apporter la paix !"
6,"Vous ne me vaincrez pas, car j'en ai décidé ainsi !"
7,"Avez-vous jamais vu les Ténèbres de ce Monde ?"
8,"Une bataille éternelle ! Voilà qui devrait me plaire !"
9,"Les gens qui vivent de leur épée se doivent de mourir par l'épée, voilà ce que j'en pense !"
10,"Vas-y gamin, sors ton épée le premier !"
11,"Le temps de rendre Justice est venu."
12,"Mon ‹ sang › vous coûtera cher !"
13,"Pourquoi ne pas régler ça par un rapide Duel, Eva ?"
14,"Finissons-en !"
15,"Je connais cette odeur..."
16,"......"
17,"Je ne pensais pas te rencontrer ici, Jead !"
18,"Je vous montrerai la fin !"
19,"Je n'éprouve que de la compassion pour toi. Grunwald."
20,"Désolée, petite fille, mais je ne te laisserai pas me bloquer la route !"
21,"J'ai tant de questions à vous poser... Après ce Duel !"
22,"Pourrissez donc à la Lumière !"
23,"Je préfère cet endroit au Monde réel."
24,"J'avais une dette envers Toi. Il est grand temps de la payer !"
25,"Nous allons revenir ici, n'est-ce pas Eva ?"
26,"Calmez-vous ! Quand le moment sera venu, je vous le ferai savoir !"
27,"Connaissez-vous vraiment la définition du mot ‹ Redistribution › ?"
28,"Je combats pour réaliser une mission. Et vous ?"
29,"Ce n'est pas la fin du monde. Evarist."
30,"Vous allez devoir affronter l'Obscurité... Une obscurité bien plus sombre encore que la Mort."
31,"Bien bien... Espérons que ce sera une expérience utile !"
32,"Laissez-moi voir ce que vous avez dans le ventre !"
33,"Haha, il est temps de s'amuser un peu !"
34,"Ca fait longtemps que je ne vous ai pas vu. Vous êtes-vous amélioré depuis ?"
35,"Nous allons bien nous amuser ensemble."
36,"Oh, ça fait longtemps que je ne vous avais pas vu. Il va falloir que je vous écrase aujourd'hui !"
37,"Disparais de ma vue, petite enquiquineuse."
38,"Je ne ferai preuve d'aucune pitié si vous ne vous écartez pas de mon chemin."
39,"Je t'ai cherchée partout... Ayn !"
40,"Sprout ? Est-ce toi ?"
41,"N'appréciez-vous pas l'odeur de la mort, glacialement sucrée ?"
42,"Si vous vous mettez sur mon chemin, je vous promets de vous envoyer trois pieds sous terre."
43,"Femme mortelle, allez en Enfer !"
44,"Je suis pressé. Je n'ai pas le temps de jouer à des jeux inutiles avec un imbécile tel que vous !"
45,"Quel plaisir de vous affronter."
46,"Commencez à éliminer l'ennemi."
47,"La chance vous offre une carte. Mais ce sera à vous de décider comment l'utiliser."
48,"Avez-vous également besoin que je vous apprenne à jouer ?"
49,"La chance est volatile. Essayer de l'attraper au passage."
50,"Bien qu'il y ait toujours chance et malchance, ces deux données s'équilibrent à la fin du jeu."
51,"Beaucoup de choix s'offrent à vous, mais vous ne pourrez en choisir qu'un."
52,"Sale sauvage, hors de ma vue !"
53,"Vous ressemblez à une jolie poupée, mais je me demande à quoi ressemble vos viscères."
54,"Je n'ai qu'une mort douloureuse à offrir aux traîtres."
55,"Que se passe-t-il ? Vous remuez encore de vieilles querelles ?"
56,"Je dirige le monde et tous les êtres qui le peuplent."
57,"Un Duel ? Ca me va."
58,"Je sais que vous devez me trouver insolent, mais accepteriez-vous de faire un Duel contre moi, Marguerite ?"
59,"Pauvre idiot, vous êtes possédé par le Démon du Chaos. Vous feriez mieux de savoir qui vous êtes vraiment."
60,"Le feu dévorera tout."
61,"Ce serait si agréable si c'était un vrai Duel."
62,"Ne nous perdons pas en courbettes inutiles, commençons le Duel !"
63,"Laissez-moi voir ce que vous avez dans le ventre."
64,"Tout est contrôlé par le Néant. Je vais vous sacrifiez pour Lui."
65,"Je voudrais vous faire voir ce que j'ai vu."
66,"La fin mène au commencement. Je ne vous laisserai pas me barrer le passage !"
67,"Je n'ai pas le temps de m'occuper de vos âneries !"
68,"Laissez-moi guider ce fantôme perdu au Paradis."
69,"Pour qui combattons-nous ? Pour ce Monde ou pour nous-mêmes ?"
