"id","name","image","parts_type","color","offset_x","offset_y","offset_scale","power_type","power","duration","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"ボディ（ノーマル）","base_a000_p27+base_a000_p31+base_a000_p33+base_a000_p44+base_a000_p48+base_a000_p51+base_a000_p53+base_a000_p55+base_a000_p59+base_a000_p62+base_a000_p67+base_a000_p81+base_a000_p85+base_a000_p87+base_a000_p97",0,100100100,40,108,50,0,0,0,,"Body (normal)","Corps (normal)","피부 색(보통)","素体(普通)","素體(普通)","Body (Normal)","สีผิว (ธรรมดา)",,,"평범한 보디",,,,
2,"ボディ（ダーク）","base_a000_p27+base_a000_p31+base_a000_p33+base_a000_p44+base_a000_p48+base_a000_p51+base_a000_p53+base_a000_p55+base_a000_p59+base_a000_p62+base_a000_p67+base_a000_p81+base_a000_p85+base_a000_p87+base_a000_p97",0,90090090,40,108,50,0,0,0,,"Body (dark)","Corps (foncé)","피부 색(어둠)","素体(黑)","素體(黑)","Body (Dark)","สีผิว (เข้ม)",,,"거무스레한 보디",,,,
3,"ボディ（ブライト）","base_a000_p27+base_a000_p31+base_a000_p33+base_a000_p44+base_a000_p48+base_a000_p51+base_a000_p53+base_a000_p55+base_a000_p59+base_a000_p62+base_a000_p67+base_a000_p81+base_a000_p85+base_a000_p87+base_a000_p97",0,110110110,40,108,50,0,0,0,,"Body (bright)","Corps (clair)","피부 색(밝음)","素体(褐)","素體(褐)","Body (Light)","สีผิว (ขาว)",,,"밝으스레한 보디",,,,
4,"赤1","eye_a000a_p102",1,0,40,280,100,0,0,0,,"Red 1","Rouge 1","빨강 1","红 1","紅 1","Red 1","สีแดง 1",,,"부드러운 눈동자",,,,
5,"黄1","eye_a000b_p102",1,0,40,280,100,0,0,0,,"Yellow 1","Jaune 1","노랑 1","黄 1","黃 1","Yellow 1","สีเหลือง 1",,,"부드러운 눈동자",,,,
6,"緑1","eye_a000c_p102",1,0,40,280,100,0,0,0,,"Green 1","Vert 1","녹색 1","绿 1","綠 1","Green 1","สีเขียว 1",,,"부드러운 눈동자",,,,
7,"青1","eye_a000d_p102",1,0,40,280,100,0,0,0,,"Blue 1","Bleu 1","파랑 1","蓝 1","藍 1","Blue 1","สีฟ้า 1",,,"부드러운 눈동자",,,,
8,"紫1","eye_a000e_p102",1,0,40,280,100,0,0,0,,"Purple 1","Violet 1","보라 1","紫 1","紫 1","Purple 1","สีม่วง 1",,,"부드러운 눈동자",,,,
9,"じと目赤","eye_a001a_p102",1,0,40,280,100,0,0,0,,"Red Eye","Oeil Rouge","빨간 반달눈","纯真眼 红","純真眼 紅","Red Eye","ตาหรี่ (แดง)",,,"그리워하는 눈동자",,,,
10,"じと目黄","eye_a001b_p102",1,0,40,280,100,0,0,0,,"Yellow Eye","Oeil Jeune","노란 반달눈","纯真眼 黄","純真眼 黃","Yellow Eye","ตาหรี่ (เหลือง)",,,"그리워하는 눈동자",,,,
11,"じと目緑","eye_a001c_p102",1,0,40,280,100,0,0,0,,"Green Eye","Oeil Vert","녹색 반달눈","纯真眼 绿","純真眼 綠","Green Eye","ตาหรี่ (เขียว)",,,"그리워하는 눈동자",,,,
12,"じと目青","eye_a001d_p102",1,0,40,280,100,0,0,0,,"Blue Eye","Oeil Bleu","파란 반달눈","纯真眼 蓝","純真眼 藍","Blue Eye","ตาหรี่ (ฟ้า)",,,"그리워하는 눈동자",,,,
13,"じと目紫","eye_a001e_p102",1,0,40,280,100,0,0,0,,"Purple Eye","Oeil Violet","보라색 반달눈","纯真眼 紫","純真眼 紫","Purple Eye","ตาหรี่ (ม่วง)",,,"그리워하는 눈동자",,,,
