"id","name","event_no","card_cost","color","max_in_deck","restriction","image","caption","filler","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"剣1カード",61,0,0,18,,"event03.swf","このカードは剣1として扱う",1,"2010-10-17 06:35:33 UTC","Sword 1","Epée 1","검1 카드","剑1卡","劍1卡","Sword 1","การ์ดดาบ 1","This card can be used as a Sword 1.","Cette carte peut être utilisée comme Epée 1","이 카드는 검1의 효과가 있습니다.","此卡当作剑1使用","此卡當作劍1使用","Digunakan sebagai Sword 1","ใช้การ์ดนี้แทนดาบ 1"
2,"剣2カード",97,0,0,18,,"event04.swf","このカードは剣2として扱う",0,"2010-10-17 06:35:33 UTC","Sword 2","Epée 2","검2 카드","剑2卡","劍2卡","Sword 2","การ์ดดาบ 2","This card can be used as a Sword 2.","Cette carte peut être utilisée comme Epée 2","이 카드는 검2의 효과가 있습니다.","此卡当作剑2使用","此卡當作劍2使用","Digunakan sebagai Sword 2","ใช้การ์ดนี้แทนดาบ 2"
3,"剣3カード",133,0,0,18,,"event03.swf","このカードは剣3として扱う",0,"2010-10-17 06:35:33 UTC","Sword 3","Epée 3","검3 카드","剑3卡","劍3卡","Sword 3","การ์ดดาบ 3","This card can be used as a Sword 3.","Cette carte peut être utilisée comme Epée 3","이 카드는 검3의 효과가 있습니다.","此卡当作剑3使用","此卡當作劍3使用","Digunakan sebagai Sword 3","ใช้การ์ดนี้แทนดาบ 3"
4,"剣4カード",169,1,3,9,,"event04.swf","このカードは剣4として扱う",0,"2010-10-17 06:35:33 UTC","Sword 4","Epée 4","검4 카드","剑4卡","劍4卡","Sword 4","การ์ดดาบ 4","This card can be used as a Sword 4.","Cette carte peut être utilisée comme Epée 4","이 카드는 검4의 효과가 있습니다.","此卡当作剑4使用","此卡當作劍4使用","Digunakan sebagai Sword 4","ใช้การ์ดนี้แทนดาบ 4"
5,"剣5カード",187,1,3,9,,"event03.swf","このカードは剣5として扱う",0,"2010-10-17 06:35:33 UTC","Sword 5","Epée 5","검5 카드","剑5卡","劍5卡","Sword 5","การ์ดดาบ 5","This card can be used as a Sword 5.","Cette carte peut être utilisée comme Epée 5","이 카드는 검5의 효과가 있습니다.","此卡当作剑5使用","此卡當作劍5使用","Digunakan sebagai Sword 5","ใช้การ์ดนี้แทนดาบ 5"
6,"剣6カード",205,1,3,9,,"event04.swf","このカードは剣6として扱う",0,"2010-10-17 06:35:33 UTC","Sword 6","Epée 6","검6 카드","剑6卡","劍6卡","Sword 6","การ์ดดาบ 6","This card can be used as a Sword 6.","Cette carte peut être utilisée comme Epée 6","이 카드는 검6의 효과가 있습니다.","此卡当作剑6使用","此卡當作劍6使用","Digunakan sebagai Sword 6","ใช้การ์ดนี้แทนดาบ 6"
7,"剣7カード",223,1,3,9,,"event03.swf","このカードは剣7として扱う",0,"2010-10-17 06:35:33 UTC","Sword 7","Epée 7","검7 카드","剑7卡","劍7卡","Sword 7","การ์ดดาบ 7","This card can be used as a Sword 7.","Cette carte peut être utilisée comme Epée 7","이 카드는 검7의 효과가 있습니다.","此卡当作剑7使用","此卡當作劍7使用","Digunakan sebagai Sword 7","ใช้การ์ดนี้แทนดาบ 7"
8,"剣8カード",241,1,3,9,,"event04.swf","このカードは剣8として扱う",0,"2010-10-17 06:35:33 UTC","Sword 8","Epée 8","검8 카드","剑8卡","劍8卡","Sword 8","การ์ดดาบ 8","This card can be used as a Sword 8.","Cette carte peut être utilisée comme Epée 8","이 카드는 검8의 효과가 있습니다.","此卡当作剑8使用","此卡當作劍8使用","Digunakan sebagai Sword 8","ใช้การ์ดนี้แทนดาบ 8"
9,"銃1カード",259,0,0,18,,"event04.swf","このカードは銃1として扱う",1,"2010-10-17 06:35:33 UTC","Gun 1","Fusil 1","총1 카드","枪1卡","槍1卡","Gun 1","การ์ดปืน 1","This card can be used as a Gun 1.","Cette carte peut être utilisée comme Fusil 1","이 카드는 총1의 효과가 있습니다.","此卡当作枪1使用","此卡當作槍1使用","Digunakan sebagai Gun 1","ใช้การ์ดนี้แทนปืน 1"
10,"銃2カード",295,0,0,18,,"event04.swf","このカードは銃2として扱う",0,"2010-10-17 06:35:33 UTC","Gun 2","Fusil 2","총2 카드","枪2卡","槍2卡","Gun 2","การ์ดปืน 2","This card can be used as a Gun 2.","Cette carte peut être utilisée comme Fusil 2","이 카드는 총2의 효과가 있습니다.","此卡当作枪2使用","此卡當作槍2使用","Digunakan sebagai Gun 2","ใช้การ์ดนี้แทนปืน 2"
11,"銃3カード",331,0,0,18,,"event04.swf","このカードは銃3として扱う",0,"2010-10-17 06:35:33 UTC","Gun 3","Fusil 3","총3 카드","枪3卡","槍3卡","Gun 3","การ์ดปืน 3","This card can be used as a Gun 3.","Cette carte peut être utilisée comme Fusil 3","이 카드는 총3의 효과가 있습니다.","此卡当作枪3使用","此卡當作槍3使用","Digunakan sebagai Gun 3","ใช้การ์ดนี้แทนปืน 3"
12,"銃4カード",367,1,4,9,,"event04.swf","このカードは銃4として扱う",0,"2010-10-17 06:35:33 UTC","Gun 4","Fusil 4","총4 카드","枪4卡","槍4卡","Gun 4","การ์ดปืน 4","This card can be used as a Gun 4.","Cette carte peut être utilisée comme Fusil 4","이 카드는 총4의 효과가 있습니다.","此卡当作枪4使用","此卡當作槍4使用","Digunakan sebagai Gun 4","ใช้การ์ดนี้แทนปืน 4"
13,"銃5カード",385,1,4,9,,"event04.swf","このカードは銃5として扱う",0,"2010-10-17 06:35:33 UTC","Gun 5","Fusil 5","총5 카드","枪5卡","槍5卡","Gun 5","การ์ดปืน 5","This card can be used as a Gun 5.","Cette carte peut être utilisée comme Fusil 5","이 카드는 총5의 효과가 있습니다.","此卡当作枪5使用","此卡當作槍5使用","Digunakan sebagai Gun 5","ใช้การ์ดนี้แทนปืน 5"
14,"銃6カード",403,1,4,9,,"event04.swf","このカードは銃6として扱う",0,"2010-10-17 06:35:33 UTC","Gun 6","Fusil 6","총6 카드","枪6卡","槍6卡","Gun 6","การ์ดปืน 6","This card can be used as a Gun 6.","Cette carte peut être utilisée comme Fusil 6","이 카드는 총6의 효과가 있습니다.","此卡当作枪6使用","此卡當作槍6使用","Digunakan sebagai Gun 6","ใช้การ์ดนี้แทนปืน 6"
15,"銃7カード",421,1,4,9,,"event04.swf","このカードは銃7として扱う",0,"2010-10-17 06:35:33 UTC","Gun 7","Fusil 7","총7 카드","枪7卡","槍7卡","Gun 7","การ์ดปืน 7","This card can be used as a Gun 7.","Cette carte peut être utilisée comme Fusil 7","이 카드는 총7의 효과가 있습니다.","此卡当作枪7使用","此卡當作槍7使用","Digunakan sebagai Gun 7","ใช้การ์ดนี้แทนปืน 7"
16,"銃8カード",439,1,4,9,,"event04.swf","このカードは銃8として扱う",0,"2010-10-17 06:35:33 UTC","Gun 8","Fusil 8","총8 카드","枪8卡","槍8卡","Gun 8","การ์ดปืน 8","This card can be used as a Gun 8.","Cette carte peut être utilisée comme Fusil 8","이 카드는 총8의 효과가 있습니다.","此卡当作枪8使用","此卡當作槍8使用","Digunakan sebagai Gun 8","ใช้การ์ดนี้แทนปืน 8"
17,"防御1カード",457,0,0,18,,"event04.swf","このカードは防御1として扱う",1,"2010-10-17 06:35:33 UTC","Defense 1","Défense 1","방어1 카드","防御1卡","防禦1卡","Shield 1","การ์ดป้องกัน 1","This card can be used as a Defense 1.","Cette carte peut être utilisée comme Défense 1","이 카드는 방어1의 효과가 있습니다.","此卡当作防御1使用","此卡當作防禦1使用","Digunakan sebagai Shield 1","ใช้การ์ดนี้เพื่อการป้องกัน 1"
18,"防御2カード",493,0,0,18,,"event04.swf","このカードは防御2として扱う",0,"2010-10-17 06:35:33 UTC","Defense 2","Défense 2","방어2 카드","防御2卡","防禦2卡","Shield 2","การ์ดป้องกัน 2","This card can be used as a Defense 2.","Cette carte peut être utilisée comme Défense 2","이 카드는 방어2의 효과가 있습니다.","此卡当作防御2使用","此卡當作防禦2使用","Digunakan sebagai Shield 2","ใช้การ์ดนี้เพื่อการป้องกัน 2"
